package	version	architecture	source_package	source_version
postgresql-client-common	293.pgdg12+1	all	postgresql-common	293.pgdg12+1
postgresql-common	293.pgdg12+1	all	postgresql-common	293.pgdg12+1
readline-common	8.2-1.3	all	readline	8.2-1.3
sed	4.9-1+deb12u1	arm64	sed	4.9-1+deb12u1
sensible-utils	0.0.17+nmu1	all	sensible-utils	0.0.17+nmu1
ssl-cert	1.1.2	all	ssl-cert	1.1.2
sysvinit-utils	3.06-4	arm64	sysvinit	3.06-4
tar	1.34+dfsg-1.2+deb12u1	arm64	tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1	all	tzdata	2026b-0+deb12u1
ucf	3.0043+nmu1+deb12u1	all	ucf	3.0043+nmu1+deb12u1
usr-is-merged	37~deb12u1	all	usrmerge	37~deb12u1
util-linux	2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3	arm64	util-linux	2.38.1-5+deb12u3
xz-utils	5.4.1-1+deb12u2	arm64	xz-utils	5.4.1-1+deb12u2
zlib1g:arm64	1:1.2.13.dfsg-1	arm64	zlib	1:1.2.13.dfsg-1
zstd	1.5.4+dfsg2-5	arm64	libzstd	1.5.4+dfsg2-5
